"Date","Market","State","Market Size","Product Type","Product","Type","Sales","Profit","Margin","COGS","Total Expenses","Marketing","Inventory","Budget Profit","Budget Margin","Budget Sales","Budget COGS"
02/01/2002,"West","California","Major Market","Coffee","Amaretto","Regular",441,-87,86,305,158,102,1986,-61,101,456,402
02/01/2002,"West","California","Major Market","Espresso","Caffe Latte","Regular",1527,477,737,647,267,213,4492,478,685,1212,686
02/01/2002,"West","California","Major Market","Espresso","Caffe Mocha","Regular",898,83,513,350,436,360,2048,89,458,775,312
02/01/2002,"West","California","Major Market","Smoothie","Chocolate","Decaf",681,322,451,285,107,83,2309,332,350,667,263
02/01/2002,"West","California","Major Market","Coffee","Columbian","Regular",2064,786,1164,776,471,257,6601,1056,1494,2694,930
02/01/2002,"West","California","Major Market","Tea","Darjeeling","Regular",703,327,444,299,120,78,2306,286,307,528,201
02/01/2002,"West","California","Major Market","Espresso","Decaf Espresso","Decaf",1843,578,869,770,323,233,4047,611,1008,1507,617
02/01/2002,"West","California","Major Market","Coffee","Decaf Irish Cream","Decaf",382,-339,-79,488,309,150,3335,-326,-97,461,537
02/01/2002,"West","California","Major Market","Tea","Earl Grey","Regular",605,237,343,261,99,69,1474,191,227,405,150
02/01/2002,"West","California","Major Market","Tea","Green Tea","Regular",579,163,378,248,172,78,1572,148,240,353,113
02/01/2002,"West","California","Major Market","Smoothie","Lemon","Decaf",1356,553,827,619,263,215,2748,467,674,1216,547
02/01/2002,"West","California","Major Market","Smoothie","Blueberry","Decaf",622,195,326,247,131,79,1923,187,271,537,209
02/01/2002,"Central","Colorado","Major Market","Coffee","Amaretto","Regular",792,351,450,289,125,88,2606,344,447,789,289
02/01/2002,"Central","Colorado","Major Market","Espresso","Caffe Mocha","Regular",599,246,352,239,106,64,1333,338,471,706,258
02/01/2002,"Central","Colorado","Major Market","Smoothie","Chocolate","Decaf",1073,286,575,509,204,134,3185,315,430,906,426
02/01/2002,"Central","Colorado","Major Market","Coffee","Columbian","Regular",641,192,333,259,121,92,1917,261,366,534,232
02/01/2002,"Central","Colorado","Major Market","Tea","Darjeeling","Regular",445,57,217,188,169,72,1038,29,175,312,161
02/01/2002,"Central","Colorado","Major Market","Espresso","Decaf Espresso","Decaf",592,171,343,211,166,80,1838,299,440,641,238
02/01/2002,"Central","Colorado","Major Market","Coffee","Decaf Irish Cream","Decaf",664,308,462,311,126,74,2324,329,442,673,330
02/01/2002,"Central","Colorado","Major Market","Tea","Earl Grey","Regular",416,112,228,191,113,61,2752,97,175,349,143
02/01/2002,"Central","Colorado","Major Market","Tea","Green Tea","Regular",289,100,167,138,82,42,2033,89,144,234,98
02/01/2002,"Central","Colorado","Major Market","Smoothie","Lemon","Decaf",386,-9,243,167,250,144,1427,31,215,330,116
02/01/2002,"Central","Colorado","Major Market","Smoothie","Blueberry","Decaf",452,105,235,185,158,56,983,132,237,356,161
02/01/2002,"East","Connecticut","Small Market","Espresso","Caffe Mocha","Regular",445,9,273,214,274,171,1438,58,304,424,177
02/01/2002,"East","Connecticut","Small Market","Coffee","Columbian","Regular",967,381,554,431,233,120,2833,375,612,965,338
02/01/2002,"East","Connecticut","Small Market","Tea","Darjeeling","Regular",382,151,241,169,79,46,2696,202,267,377,170
02/01/2002,"East","Connecticut","Small Market","Espresso","Decaf Espresso","Decaf",367,85,245,183,143,54,914,117,215,407,163
02/01/2002,"East","Connecticut","Small Market","Tea","Green Tea","Regular",223,64,123,82,59,23,2216,126,165,227,67
02/01/2002,"East","Connecticut","Small Market","Smoothie","Lemon","Decaf",635,116,308,252,197,105,1518,154,294,432,200
02/01/2002,"East","Connecticut","Small Market","Smoothie","Blueberry","Decaf",551,131,254,252,123,73,3087,150,207,354,145
02/01/2002,"East","Florida","Major Market","Espresso","Caffe Mocha","Regular",718,45,413,273,331,251,1572,114,426,616,231
02/01/2002,"East","Florida","Major Market","Smoothie","Chocolate","Decaf",323,113,182,143,88,49,1906,94,148,258,92
02/01/2002,"East","Florida","Major Market","Coffee","Columbian","Regular",640,201,365,259,159,78,1995,245,386,610,198
02/01/2002,"East","Florida","Major Market","Tea","Darjeeling","Regular",232,88,135,99,62,23,2477,124,159,256,102
02/01/2002,"East","Florida","Major Market","Espresso","Decaf Espresso","Decaf",546,149,345,225,173,78,1298,180,279,481,210
02/01/2002,"East","Florida","Major Market","Coffee","Decaf Irish Cream","Decaf",585,208,353,262,165,82,1502,235,365,611,241
02/01/2002,"East","Florida","Major Market","Tea","Green Tea","Regular",331,125,230,139,67,38,2598,188,273,351,117
02/01/2002,"East","Florida","Major Market","Smoothie","Lemon","Decaf",339,38,214,175,152,65,990,63,152,298,114
02/01/2002,"East","Florida","Major Market","Smoothie","Blueberry","Decaf",461,126,237,213,126,61,2825,157,197,348,142
02/01/2002,"Central","Illinois","Major Market","Espresso","Caffe Mocha","Regular",1648,627,978,741,329,223,3578,850,1193,2014,799
02/01/2002,"Central","Illinois","Major Market","Smoothie","Chocolate","Decaf",698,334,461,302,111,92,2449,334,380,648,227
02/01/2002,"Central","Illinois","Major Market","Coffee","Columbian","Regular",1041,388,688,438,260,151,2579,395,630,1218,488
02/01/2002,"Central","Illinois","Major Market","Tea","Darjeeling","Regular",573,226,370,238,93,69,1349,224,307,541,180
02/01/2002,"Central","Illinois","Major Market","Espresso","Decaf Espresso","Decaf",1327,406,646,727,273,206,4607,597,920,1546,814
02/01/2002,"Central","Illinois","Major Market","Coffee","Decaf Irish Cream","Decaf",733,272,455,316,176,111,1671,327,463,731,351
02/01/2002,"Central","Illinois","Major Market","Tea","Earl Grey","Regular",628,167,322,228,173,67,1535,152,325,478,170
02/01/2002,"Central","Illinois","Major Market","Smoothie","Lemon","Decaf",632,192,340,264,112,84,1894,170,277,492,221
02/01/2002,"Central","Illinois","Major Market","Smoothie","Blueberry","Decaf",777,306,441,293,128,79,2274,322,405,602,260
02/01/2002,"Central","Iowa","Small Market","Coffee","Amaretto","Regular",140,29,84,52,48,15,2657,64,89,122,31
02/01/2002,"Central","Iowa","Small Market","Espresso","Caffe Mocha","Regular",156,31,92,56,51,17,2629,67,98,160,61
