Country,Year,"Birth Per 1,000 population","Deaths Per 1,000 population","Net number of migrants per 1,000 population","     Rate of natural increase",Growth rate,"     Population","         Births","       Deaths","    Net numberof migrants","    Natural increase"
Albania,2004,15.1,5,-4.9,1.01,0.51,3544808,53456,17795,-17476,35661
Albania,2006,15.1,5.2,-4.7,0.99,0.52,3581655,54119,18696,-16726,35423
Albania,2005,15.1,5.1,-4.8,1,0.52,3563112,53732,18243,-17103,35489
Albania,2003,15.1,4.9,-5.1,1.02,0.51,3526642,53323,17351,-17845,35972
Albania,2001,15.3,4.7,-5.3,1.06,0.52,3490304,53367,16474,-18603,36893
Albania,2000,14.6,4.9,-5.5,0.97,0.42,3473835,50753,17091,-19002,33662
Albania,2007,15.2,5.3,-4.5,0.98,0.53,3600523,54584,19191,-16346,35393
Albania,2002,15.2,4.8,-5.2,1.04,0.52,3508512,53294,16911,-18244,36383
Algeria,2007,17.1,4.6,-0.3,1.25,1.22,33333216,570331,153999,-11000,416332
Algeria,2006,17.1,4.6,-0.3,1.25,1.22,32930091,564422,151808,-11526,412614
Algeria,2000,19.9,4.8,-0.5,1.51,1.46,30409300,604537,145052,-14596,459485
Algeria,2005,17.1,4.6,-0.4,1.25,1.22,32531853,557271,149647,-12037,407624
Algeria,2001,19.4,4.7,-0.5,1.47,1.43,30851518,598519,144694,-14192,453825
Algeria,2004,17.8,4.6,-0.4,1.31,1.27,32129324,570617,148116,-12530,422501
Algeria,2002,18.9,4.7,-0.4,1.42,1.38,31287142,591014,145798,-13766,445216
Algeria,2003,18.3,4.6,-0.4,1.37,1.33,31713719,581630,146835,-13320,434795
American Samoa,2003,25.9,3.4,-20.8,2.24,0.17,57844,1495,199,-1200,1296
American Samoa,2007,21.8,3.2,-21.2,1.86,-0.26,57663,1259,187,-1223,1072
American Samoa,2006,22.5,3.3,-21.1,1.92,-0.19,57794,1298,189,-1220,1109
American Samoa,2005,23.1,3.3,-20.9,1.98,-0.11,57881,1339,193,-1209,1146
American Samoa,2004,24.5,3.4,-20.7,2.11,0.04,57902,1416,196,-1199,1220
American Samoa,2002,27.3,3.5,-21,2.38,0.28,57716,1574,203,-1210,1371
American Samoa,2001,28.7,3.6,-21.4,2.51,0.37,57529,1650,207,-1230,1443
American Samoa,2000,30.2,3.9,-22.1,2.63,0.42,57301,1730,224,-1264,1506
Andorra,2003,9.7,5.7,6.7,0.39,1.06,69150,667,397,461,270
Andorra,2004,9.3,5.9,6.6,0.34,1,69865,651,412,461,239
Andorra,2006,8.7,6.2,6.5,0.25,0.89,71201,620,445,461,175
Andorra,2002,10,5.6,6.7,0.44,1.11,68403,682,381,461,301
Andorra,2001,10.3,5.4,6.8,0.49,1.17,67627,696,366,461,330
Andorra,2000,10.6,5.3,6.9,0.53,1.22,66824,707,352,461,355
Andorra,2007,8.4,6.5,6.4,0.2,0.84,71822,607,463,461,144
Andorra,2005,9,6.1,6.5,0.29,0.95,70549,635,428,461,207
Angola,2000,47.9,27.3,-7.3,2.06,1.33,10377267,497071,283196,-76273,213875
Angola,2001,47.3,27.1,-2.6,2.03,1.76,10538387,498887,285380,-27716,213507
Angola,2002,46.8,26.8,4.1,2,2.42,10760510,503699,288059,44118,215640
Angola,2003,46.3,26.4,10.4,1.99,3.03,11057090,512054,291907,114551,220147
Angola,2004,45.9,26,9.4,1.99,2.93,11391126,522283,296169,107418,226114
Angola,2005,45.4,25.6,5.6,1.98,2.54,11706954,531847,299932,65793,231915
Angola,2006,45,25.2,3.1,1.97,2.28,11992807,539077,302339,36938,236738
Angola,2007,44.5,24.8,2.1,1.97,2.18,12263596,545853,304260,26244,241593
Anguilla,2002,14.9,5.5,15,0.94,2.44,12446,186,69,187,117
Anguilla,2000,15.3,5.8,19.8,0.96,2.93,11797,181,68,233,113
Anguilla,2001,15.2,5.6,17.2,0.96,2.68,12132,184,68,209,116
Anguilla,2003,14.7,5.4,12.8,0.93,2.21,12738,187,69,163,118
Anguilla,2004,14.4,5.5,10.8,0.9,1.98,13008,188,71,140,117
Anguilla,2005,14.3,5.4,8.8,0.88,1.77,13254,189,72,117,117
Anguilla,2006,14.2,5.3,6.9,0.88,1.57,13477,191,72,93,119
Anguilla,2007,14,5.3,5.1,0.86,1.38,13677,191,73,70,118
Antigua and Barbuda,2007,16.6,5.3,-6,1.13,0.53,69481,1155,369,-420,786
Antigua and Barbuda,2006,16.9,5.4,-6.1,1.16,0.55,69108,1170,371,-420,799
Antigua and Barbuda,2004,17.7,5.5,-6.2,1.22,0.6,68320,1209,379,-420,830
Antigua and Barbuda,2003,18.2,5.6,-6.2,1.26,0.64,67897,1238,383,-420,855
Antigua and Barbuda,2002,18.8,5.8,-6.2,1.31,0.69,67448,1271,388,-420,883
Antigua and Barbuda,2001,19.5,5.9,-6.3,1.36,0.74,66970,1306,393,-420,913
Antigua and Barbuda,2000,20.2,6,-6.3,1.42,0.78,66464,1340,399,-420,941
Antigua and Barbuda,2005,17.3,5.4,-6.1,1.18,0.57,68722,1186,374,-420,812
Argentina,2007,16.5,7.5,0.4,0.9,0.94,40301927,666191,304280,16121,361911
Argentina,2006,16.7,7.5,0.4,0.92,0.96,39921833,667892,301410,15969,366482
Argentina,2005,16.9,7.6,0.4,0.93,0.97,39537943,668191,298907,15815,369284
